iteration,episode,person,action,reward,help_bob,decline_bob,delay_bob,help_alice,decline_alice,teach_alice,help_dave,decline_dave,suggest_dave
178,6,dave,suggest_dave,0.6000,-0.3726,-10.1138,9.5824,-13.1031,18.7305,-3.1262,10.2988,-15.7908,5.7364
179,6,dave,suggest_dave,0.6000,-0.3726,-10.1138,9.5824,-13.1031,18.7305,-3.1262,10.5226,-16.1110,5.7364
180,6,dave,decline_dave,0.1000,-0.3726,-10.1138,9.5824,-13.1031,18.7305,-3.1262,11.0659,-16.1110,6.0558
181,7,bob,decline_bob,0.0120,-0.3528,-10.1138,9.9674,-13.1031,18.7305,-3.1262,11.0659,-16.1110,6.0558
182,7,bob,delay_bob,0.5120,-0.7245,-10.5053,9.9674,-13.1031,18.7305,-3.1262,11.0659,-16.1110,6.0558
183,7,bob,decline_bob,0.0120,-0.7045,-10.5053,10.3592,-13.1031,18.7305,-3.1262,11.0659,-16.1110,6.0558
184,7,bob,help_bob,0.4297,-0.7045,-10.5404,10.7158,-13.1031,18.7305,-3.1262,11.0659,-16.1110,6.0558
185,7,bob,delay_bob,0.5220,-1.0674,-10.9384,10.7158,-13.1031,18.7305,-3.1262,11.0659,-16.1110,6.0558
186,7,bob,decline_bob,0.0220,-1.0325,-10.9384,11.1135,-13.1031,18.7305,-3.1262,11.0659,-16.1110,6.0558
187,7,bob,help_bob,-0.3458,-1.0325,-10.9586,11.4912,-13.1031,18.7305,-3.1262,11.0659,-16.1110,6.0558
188,7,bob,delay_bob,0.5320,-1.4163,-11.3626,11.4912,-13.1031,18.7305,-3.1262,11.0659,-16.1110,6.0558
189,7,bob,delay_bob,0.5320,-1.8056,-11.7721,11.4912,-13.1031,18.7305,-3.1262,11.0659,-16.1110,6.0558
190,7,bob,delay_bob,0.5320,-2.2000,-12.1866,11.4912,-13.1031,18.7305,-3.1262,11.0659,-16.1110,6.0558
191,7,carol,teach_alice,0.4580,-2.2000,-12.1866,11.4912,-13.3008,19.0154,-3.1262,11.0659,-16.1110,6.0558
192,7,carol,teach_alice,-0.0420,-2.2000,-12.1866,11.4912,-13.4912,19.3075,-3.1262,11.0659,-16.1110,6.0558
193,7,carol,teach_alice,0.4580,-2.2000,-12.1866,11.4912,-13.6940,19.5873,-3.1262,11.0659,-16.1110,6.0558
194,7,carol,decline_alice,0.5580,-2.2000,-12.1866,11.4912,-14.1843,19.5873,-3.4137,11.0659,-16.1110,6.0558
195,7,carol,teach_alice,0.4580,-2.2000,-12.1866,11.4912,-14.3987,19.8632,-3.4137,11.0659,-16.1110,6.0558
196,7,carol,help_alice,0.2358,-2.2000,-12.1866,11.4912,-14.3987,20.3402,-3.2126,11.0659,-16.1110,6.0558
197,7,carol,teach_alice,-0.0460,-2.2000,-12.1866,11.4912,-14.5925,20.6234,-3.2126,11.0659,-16.1110,6.0558
198,7,carol,help_alice,-0.2717,-2.2000,-12.1866,11.4912,-14.5925,21.1104,-3.0088,11.0659,-16.1110,6.0558
199,7,carol,decline_alice,0.5500,-2.2000,-12.1866,11.4912,-15.0859,21.1104,-3.2985,11.0659,-16.1110,6.0558
200,7,carol,decline_alice,0.5500,-2.2000,-12.1866,11.4912,-15.5851,21.1104,-3.5939,11.0659,-16.1110,6.0558
201,7,dave,help_dave,0.0013,-2.2000,-12.1866,11.4912,-15.5851,21.1104,-3.5939,11.0659,-16.6213,5.8649
202,7,dave,decline_dave,0.0960,-2.2000,-12.1866,11.4912,-15.5851,21.1104,-3.5939,11.5756,-16.6213,6.1838
